,ESG,Myopia,IndivF,OrgF,TechF,EnvF,FC,SubstDig,StratDig,OpPerf
ESG,1.0,0.016,0.013,-0.018,-0.056,-0.023,-0.216,0.212,0.059,0.086
Myopia,0.016,1.0,0.023,0.01,0.013,0.056,-0.015,-0.035,0.082,0.021
IndivF,0.013,0.023,1.0,-0.001,-0.032,-0.056,-0.032,0.275,0.093,0.338
OrgF,-0.018,0.01,-0.001,1.0,-0.022,-0.018,-0.066,0.028,-0.032,0.108
TechF,-0.056,0.013,-0.032,-0.022,1.0,0.035,0.017,0.032,0.011,0.005
EnvF,-0.023,0.056,-0.056,-0.018,0.035,1.0,-0.01,0.079,-0.02,0.048
FC,-0.216,-0.015,-0.032,-0.066,0.017,-0.01,1.0,-0.25,-0.1,-0.147
SubstDig,0.212,-0.035,0.275,0.028,0.032,0.079,-0.25,1.0,0.05,0.575
StratDig,0.059,0.082,0.093,-0.032,0.011,-0.02,-0.1,0.05,1.0,0.118
OpPerf,0.086,0.021,0.338,0.108,0.005,0.048,-0.147,0.575,0.118,1.0
